pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_inverse_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost
820,ST019__ST020,19,ST019,시화병원,20,ST020,시화공업단지[왼쪽부근],1979.0,1.979,2.8736363843131483,0.422822321,0.422822321,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.548112375,PRELIMINARY_90M,0.08397335256927059,0.34799113953974325,0.34799113953974325,0.422822321,0.0913520625,0.23653471890225347
534,ST011__ST050,11,ST011,배곧생명공원,50,ST050,시흥한라3차아파트,995.0,0.995,2.969355785245408,0.47264275,0.47264275,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.56995669,PRELIMINARY_90M,0.04222005346459032,0.3367733853144018,0.3367733853144018,0.47264275,0.09499278166666668,0.23665724261141471
1457,ST047__ST055,47,ST047,배곧2동행정복지센터,55,ST055,해양생태과학관,6114.0,6.114,2.977813567325743,0.02886443,0.02886443,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.944409084,PRELIMINARY_90M,0.2594305596809097,0.3358168593805087,0.3358168593805087,0.02886443,0.32406818066666665,0.23704500743202128
925,ST022__ST023,22,ST022,오이도박물관,23,ST023,오이도역,6145.0,6.145,3.451768155847177,0.187192651,0.187192651,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.271537161,PRELIMINARY_90M,0.26074595833156533,0.28970659524337816,0.28970659524337816,0.187192651,0.21192286016666664,0.23739201618540254
56,ST002__ST004,2,ST002,월곶포구,4,ST004,배곧중심상가,3192.0,3.192,3.5458499603414118,0.332930014,0.332930014,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.198313388,PRELIMINARY_90M,0.13544362880298721,0.28201982914802043,0.28201982914802043,0.332930014,0.199718898,0.23752809248775192
947,ST022__ST045,22,ST022,오이도박물관,45,ST045,시흥중앙도서관,5639.0,5.639,3.6640196738093724,0.218388661,0.218388661,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.321126041,PRELIMINARY_90M,0.23927525777570333,0.272924298727995,0.272924298727995,0.218388661,0.22018767350000001,0.23769397275092458
1232,ST032__ST055,32,ST032,희망공원,55,ST055,해양생태과학관,4731.0,4.731,2.4224255655753963,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.046498134,PRELIMINARY_90M,0.20074680697585606,0.4128093817249947,0.4128093817249947,0.0,0.3410830223333334,0.23865980275854604
63,ST002__ST011,2,ST002,월곶포구,11,ST011,배곧생명공원,3928.0,3.928,3.437997456052192,0.304495296,0.304495296,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.160746133,PRELIMINARY_90M,0.16667373870242289,0.2908669982403905,0.2908669982403905,0.304495296,0.19345768883333334,0.2388734304440367
878,ST020__ST043,20,ST020,시화공업단지[왼쪽부근],43,ST043,시흥종합버스터미널,792.0,0.792,2.422886141395766,0.407592084,0.407592084,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.610397046,PRELIMINARY_90M,0.033606313913523145,0.4127309091891228,0.4127309091891228,0.407592084,0.101732841,0.23891553702566148
148,ST003__ST044,3,ST003,배곧한울공원,44,ST044,경기과학기술대학교,4512.0,4.512,3.1706580906619517,0.229161108,0.229161108,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.318416395,PRELIMINARY_90M,0.19145415199219248,0.3153919380160053,0.3153919380160053,0.229161108,0.21973606583333335,0.2389358159603828
