from_station_id,to_station_id,reference_distance_km,structure_distance_km,distance_stretch,structure
ST005,ST031,4.886,4.886,1.0,CANDIDATE_GRAPH
ST005,ST032,6.2940000000000005,6.2940000000000005,1.0,CANDIDATE_GRAPH
ST005,ST033,7.767,7.767,1.0,CANDIDATE_GRAPH
ST005,ST034,6.876,6.876,1.0,CANDIDATE_GRAPH
ST005,ST035,6.523,6.523,1.0,CANDIDATE_GRAPH
ST005,ST036,7.141,7.141,1.0,CANDIDATE_GRAPH
ST005,ST037,7.617,7.617,1.0,CANDIDATE_GRAPH
ST005,ST038,10.229,10.229,1.0,CANDIDATE_GRAPH
ST005,ST039,10.327,10.327,1.0,CANDIDATE_GRAPH
ST005,ST040,6.55,6.55,1.0,CANDIDATE_GRAPH
ST005,ST041,9.945,9.945,1.0,CANDIDATE_GRAPH
ST005,ST042,8.542,8.542,1.0,CANDIDATE_GRAPH
ST005,ST043,5.481999999999999,5.481999999999999,1.0,CANDIDATE_GRAPH
ST005,ST044,6.181,6.181,1.0,CANDIDATE_GRAPH
ST005,ST045,4.8629999999999995,4.8629999999999995,1.0,CANDIDATE_GRAPH
ST005,ST046,0.508,0.508,1.0,CANDIDATE_GRAPH
ST005,ST047,2.676,2.676,1.0,CANDIDATE_GRAPH
ST005,ST048,4.175,4.175,1.0,CANDIDATE_GRAPH
ST005,ST049,8.764,8.764,1.0,CANDIDATE_GRAPH
ST005,ST050,2.03,2.03,1.0,CANDIDATE_GRAPH
ST005,ST051,10.541,10.541,1.0,CANDIDATE_GRAPH
ST005,ST052,7.5760000000000005,7.5760000000000005,1.0,CANDIDATE_GRAPH
ST005,ST053,5.885,5.885,1.0,CANDIDATE_GRAPH
ST005,ST054,1.508,1.508,1.0,CANDIDATE_GRAPH
ST005,ST055,8.206999999999999,8.206999999999999,1.0,CANDIDATE_GRAPH
ST006,ST007,0.616,0.616,1.0,CANDIDATE_GRAPH
ST006,ST008,1.951,1.951,1.0,CANDIDATE_GRAPH
ST006,ST009,2.599,2.599,1.0,CANDIDATE_GRAPH
ST006,ST010,8.397,8.397,1.0,CANDIDATE_GRAPH
ST006,ST011,9.333,9.333,1.0,CANDIDATE_GRAPH
ST006,ST012,8.139,8.139,1.0,CANDIDATE_GRAPH
ST006,ST013,8.849,8.849,1.0,CANDIDATE_GRAPH
ST006,ST014,9.518999999999998,9.518999999999998,1.0,CANDIDATE_GRAPH
ST006,ST015,6.311,6.311,1.0,CANDIDATE_GRAPH
ST006,ST016,4.19,4.19,1.0,CANDIDATE_GRAPH
ST006,ST017,1.97,1.97,1.0,CANDIDATE_GRAPH
ST006,ST018,8.359,8.359,1.0,CANDIDATE_GRAPH
ST006,ST019,8.03,8.03,1.0,CANDIDATE_GRAPH
ST006,ST020,9.694,9.694,1.0,CANDIDATE_GRAPH
ST006,ST021,13.761999999999999,13.761999999999999,1.0,CANDIDATE_GRAPH
ST006,ST022,13.718,13.718,1.0,CANDIDATE_GRAPH
ST006,ST023,8.08,8.08,1.0,CANDIDATE_GRAPH
ST006,ST024,6.687,6.687,1.0,CANDIDATE_GRAPH
ST006,ST025,6.309,6.309,1.0,CANDIDATE_GRAPH
ST006,ST026,8.185,8.185,1.0,CANDIDATE_GRAPH
ST006,ST027,8.014,8.014,1.0,CANDIDATE_GRAPH
ST006,ST028,7.615,7.615,1.0,CANDIDATE_GRAPH
ST006,ST029,3.2479999999999998,3.2479999999999998,1.0,CANDIDATE_GRAPH
ST006,ST030,2.299,2.299,1.0,CANDIDATE_GRAPH
ST006,ST031,4.468999999999999,4.468999999999999,1.0,CANDIDATE_GRAPH
ST006,ST032,11.421,11.421,1.0,CANDIDATE_GRAPH
ST006,ST033,11.281,11.281,1.0,CANDIDATE_GRAPH
ST006,ST034,5.936,5.936,1.0,CANDIDATE_GRAPH
ST006,ST035,5.582999999999999,5.582999999999999,1.0,CANDIDATE_GRAPH
ST006,ST036,6.226999999999999,6.226999999999999,1.0,CANDIDATE_GRAPH
ST006,ST037,6.702999999999999,6.702999999999999,1.0,CANDIDATE_GRAPH
ST006,ST038,2.199,2.199,1.0,CANDIDATE_GRAPH
ST006,ST039,2.245,2.245,1.0,CANDIDATE_GRAPH
ST006,ST040,3.134,3.134,1.0,CANDIDATE_GRAPH
ST006,ST041,3.951,3.951,1.0,CANDIDATE_GRAPH
ST006,ST042,0.594,0.594,1.0,CANDIDATE_GRAPH
